path;offset;bytes;extract
ai/000.bin;0x151B6;34 53 5F 00;湖の巫女 リアン
ai/000.bin;0x151B6;DC A5 CF 01;  クインテットウォール : %d/%d枚
ai/000.bin;0x151B6;51 5B 2F 06;ヘキサゴナル・メイガス
ai/000.bin;0x151B6;18 51 8C 06;深淵の海賊王 ブルーハート
ai/000.bin;0x151B6;DD 9F CC 07;蒼嵐竜 メイルストローム
ai/000.bin;0x151B6;8D 9F AA 08;  シールドの要求値 : 
ai/000.bin;0x151B6;99 38 0E 09;エメラルドウィッチ ララ
ai/000.bin;0x151B6;76 AE E0 09;ドラゴニック・オーバーロード “The Яe-birth”
ai/000.bin;0x151B6;02 DC 8B 0D;モーント・ブラウクリューガー
ai/000.bin;0x151B6;B1 2D 5D 0E;  対象のパワー : %d(%d)%s
ai/000.bin;0x151B6;24 A1 3B 11;ライジング・ライオネット
ai/000.bin;0x151B6;CA 98 65 11;神界獣 フェンリル
ai/000.bin;0x151B6;2F 96 22 12;ダンシング・ウルフ
ai/000.bin;0x151B6;2F CE 1C 13;花占いの女神 サクヤ
ai/000.bin;0x151B6;9F 3C 4E 15; + %d
ai/000.bin;0x151B6;24 7A 2C 18;希望の火 エルモ
ai/000.bin;0x151B6;26 7B 30 1A;ネコ執事
ai/000.bin;0x151B6;8D 20 89 1A;AI未設定 : %s %d
ai/000.bin;0x151B6;53 C3 3F 1B;戦場の歌姫 オルティア
ai/000.bin;0x151B6;95 31 10 1D;封竜 カルゼ
ai/000.bin;0x151B6;C0 17 EB 1D;マジェスティ・ロードブラスター
ai/000.bin;0x151B6;49 58 50 21;次元ロボ ダイジェット
ai/000.bin;0x151B6;8E BC BB 21;  シールドの目標値 : 
ai/000.bin;0x151B6;00 8C ED 21;みるびる
ai/000.bin;0x151B6;50 41 74 23;希望の子 トゥルエル
ai/000.bin;0x151B6;39 5F 97 27;新鋭の騎士 ダヴィド
ai/000.bin;0x151B6;BE 51 F9 27;餓竜 バトルレックス
ai/000.bin;0x151B6;F7 2E E0 29;～%d
ai/000.bin;0x151B6;A6 8F 2A 2A;喧嘩屋 ファイティング・ドラコキッド
ai/000.bin;0x151B6;44 62 0C 2D;無音の射手 コンダクタンス
ai/000.bin;0x151B6;14 30 63 2D;!!!! AI ERROR !!!!\n  
ai/000.bin;0x151B6;9D D8 DB 30;オラクルガーディアン シーサー
ai/000.bin;0x151B6;68 C9 B9 31;ドリーミング・ドラゴン
ai/000.bin;0x151B6;EE 81 9E 32;豪腕拿捕の巨人兵
ai/000.bin;0x151B6;C5 4D EE 32;ブラスター・ダーク “Diablo”
ai/000.bin;0x151B6;F1 28 16 33;枚しか選んでいない
ai/000.bin;0x151B6;BC 1F 35 33;  ブースター : %s
ai/000.bin;0x151B6;0F 84 8F 33;月光の魔女 ヴァハ
ai/000.bin;0x151B6;B8 BC F2 37;伏魔忍鬼 カガミジシ
ai/000.bin;0x151B6;6E 42 D6 38;AI(%d) : アタック情報
ai/000.bin;0x151B6;B3 AD 45 3A;ブラスター
ai/000.bin;0x151B6;5F 07 F5 3E;選択の魔女 エリウ
ai/000.bin;0x151B6;2B 9E 47 42;秘薬の魔女 アリアンロッド
ai/000.bin;0x151B6;03 D4 54 45; ヒットされない
ai/000.bin;0x151B6;2D 3A A7 45;AI(%d) : ガードステップ情報
ai/000.bin;0x151B6;2C A5 7B 4D;枚選択する必要があるが、
ai/000.bin;0x151B6;9F A5 E0 4F;ＣＥＯ アマテラス
ai/000.bin;0x151B6;3A D0 5B 51;メッチャバトラー ビクトール
ai/000.bin;0x151B6;A6 11 33 52;暗黒竜 ファントム・ブラスター “Diablo”
ai/000.bin;0x151B6;72 A4 48 52;マグナム・アサルト
ai/000.bin;0x151B6;A2 CA 0A 55;士官候補生 アンドレイ
ai/000.bin;0x151B6;3C E0 6F 55;ドラゴニック・オーバーロード
ai/000.bin;0x151B6;B6 EB DA 55;蒼嵐水将 デスピナ
ai/000.bin;0x151B6;DE C1 45 56;解放者
ai/000.bin;0x151B6;F7 6D 78 57;スタンプ・ラッコ
ai/000.bin;0x151B6;3C 63 E3 57;髑髏の魔女 ネヴァン
ai/000.bin;0x151B6;C5 AF 0D 60;真紅の伝承 メタトロン
ai/000.bin;0x151B6;75 87 53 62;変革の騎士 ラディナス
ai/000.bin;0x151B6;29 1A 85 62;メイデン・オブ・ドリーミングアロマ
ai/000.bin;0x151B6;47 87 68 63;AI(%d) : 思考時間 %.3f秒 (行動カテゴリ:%d)
ai/000.bin;0x151B6;55 C8 81 63;  完全ガード : %d/%d枚
