path;offset;bytes;extract
ai/000.bin;0x151B6;34 53 5F 00;Lake Maiden, Lien
ai/000.bin;0x151B6;DC A5 CF 01;  クインテットウォール : %d/%d枚
ai/000.bin;0x151B6;51 5B 2F 06;Hexagonal Magus
ai/000.bin;0x151B6;18 51 8C 06;Pirate King of the Abyss, Blueheart
ai/000.bin;0x151B6;DD 9F CC 07;Blue Storm Dragon, Maelstrom
ai/000.bin;0x151B6;8D 9F AA 08;  シールドの要求値 : 
ai/000.bin;0x151B6;99 38 0E 09;Emerald Witch, LaLa
ai/000.bin;0x151B6;76 AE E0 09;Dragonic Overlord "The Яe-birth" (Trigger)
ai/000.bin;0x151B6;02 DC 8B 0D;Mond Blaukluger
ai/000.bin;0x151B6;B1 2D 5D 0E;  対象のパワー : %d(%d)%s
ai/000.bin;0x151B6;24 A1 3B 11;Rising Lionet
ai/000.bin;0x151B6;CA 98 65 11;Mythic Beast, Fenrir
ai/000.bin;0x151B6;2F 96 22 12;Dancing Wolf
ai/000.bin;0x151B6;2F CE 1C 13;Goddess of Flower Divination, Sakuya
ai/000.bin;0x151B6;9F 3C 4E 15; + %d
ai/000.bin;0x151B6;24 7A 2C 18;Flame of Hope, Aermo
ai/000.bin;0x151B6;26 7B 30 1A;Cat Butler
ai/000.bin;0x151B6;8D 20 89 1A;AI未設定 : %s %d
ai/000.bin;0x151B6;53 C3 3F 1B;Battle Siren, Orthia
ai/000.bin;0x151B6;95 31 10 1D;Seal Dragon, Kersey
ai/000.bin;0x151B6;C0 17 EB 1D;Majesty Lord Blaster (Trigger)
ai/000.bin;0x151B6;49 58 50 21;Dimensional Robo, Daijet
ai/000.bin;0x151B6;8E BC BB 21;  シールドの目標値 : 
ai/000.bin;0x151B6;00 8C ED 21;Miru Biru
ai/000.bin;0x151B6;50 41 74 23;Hope Child, Turiel
ai/000.bin;0x151B6;39 5F 97 27;Promising Knight, David
ai/000.bin;0x151B6;BE 51 F9 27;Ravenous Dragon, Battlerex
ai/000.bin;0x151B6;F7 2E E0 29;～%d
ai/000.bin;0x151B6;A6 8F 2A 2A;Brawler, Fighting Dracokid
ai/000.bin;0x151B6;44 62 0C 2D;Soundless Archer, Conductance
ai/000.bin;0x151B6;14 30 63 2D;!!!! AI ERROR !!!!\n  
ai/000.bin;0x151B6;9D D8 DB 30;Oracle Guardian, Shisa
ai/000.bin;0x151B6;68 C9 B9 31;Dreaming Dragon
ai/000.bin;0x151B6;EE 81 9E 32;Titan of the Capturing Arm
ai/000.bin;0x151B6;C5 4D EE 32;Blaster Dark "Diablo"
ai/000.bin;0x151B6;F1 28 16 33;枚しか選んでいない
ai/000.bin;0x151B6;BC 1F 35 33;  ブースター : %s
ai/000.bin;0x151B6;0F 84 8F 33;Moonlight Witch, Vaha
ai/000.bin;0x151B6;B8 BC F2 37;Ambush Demon Stealth Rogue, Kagamijishi
ai/000.bin;0x151B6;6E 42 D6 38;AI(%d) : アタック情報
ai/000.bin;0x151B6;B3 AD 45 3A;ブラスター
ai/000.bin;0x151B6;5F 07 F5 3E;Witch of Choices, Eriu
ai/000.bin;0x151B6;2B 9E 47 42;Witch of Nostrum, Arianrhod
ai/000.bin;0x151B6;03 D4 54 45; ヒットされない
ai/000.bin;0x151B6;2D 3A A7 45;AI(%d) : ガードステップ情報
ai/000.bin;0x151B6;2C A5 7B 4D;枚選択する必要があるが、
ai/000.bin;0x151B6;9F A5 E0 4F;CEO Amaterasu
ai/000.bin;0x151B6;3A D0 5B 51;Exxtreme Battler, Victor
