path;offset;bytes;extract
ai/000.bin;0x151B6;34 53 5F 00;Lake Maiden, Lien
ai/000.bin;0x151B6;DC A5 CF 01;Quintette Wall :%d/%d
ai/000.bin;0x151B6;51 5B 2F 06;Hexagonal Magus
ai/000.bin;0x151B6;18 51 8C 06;Pirate King of the Abyss, Blueheart
ai/000.bin;0x151B6;DD 9F CC 07;Blue Storm Dragon, Maelstrom
ai/000.bin;0x151B6;8D 9F AA 08;Shield requirement :
ai/000.bin;0x151B6;99 38 0E 09;Emerald Witch, LaLa
ai/000.bin;0x151B6;76 AE E0 09;"Dragonic Overlord ""The Яe-birth"" (Trigger)"
ai/000.bin;0x151B6;02 DC 8B 0D;Mond Blaukluger
ai/000.bin;0x151B6;B1 2D 5D 0E;Target card's power :%d(%d)%s
ai/000.bin;0x151B6;24 A1 3B 11;Rising Lionet
ai/000.bin;0x151B6;CA 98 65 11;Mythic Beast, Fenrir
ai/000.bin;0x151B6;2F 96 22 12;Dancing Wolf
ai/000.bin;0x151B6;2F CE 1C 13;Goddess of Flower Divination, Sakuya
ai/000.bin;0x151B6;9F 3C 4E 15; + %d
ai/000.bin;0x151B6;24 7A 2C 18;Flame of Hope, Aermo
ai/000.bin;0x151B6;26 7B 30 1A;Cat Butler
ai/000.bin;0x151B6;8D 20 89 1A;AI Not Set : %s %d
ai/000.bin;0x151B6;53 C3 3F 1B;Battle Siren, Orthia
ai/000.bin;0x151B6;95 31 10 1D;Seal Dragon, Kersey
ai/000.bin;0x151B6;C0 17 EB 1D;Majesty Lord Blaster (Trigger)
ai/000.bin;0x151B6;49 58 50 21;Dimensional Robo, Daijet
ai/000.bin;0x151B6;8E BC BB 21;Target Shield Value :
ai/000.bin;0x151B6;00 8C ED 21;Miru Biru
ai/000.bin;0x151B6;50 41 74 23;Hope Child, Turiel
ai/000.bin;0x151B6;39 5F 97 27;Promising Knight, David
ai/000.bin;0x151B6;BE 51 F9 27;Ravenous Dragon, Battlerex
ai/000.bin;0x151B6;F7 2E E0 29;～%d
ai/000.bin;0x151B6;A6 8F 2A 2A;Brawler, Fighting Dracokid
ai/000.bin;0x151B6;44 62 0C 2D;Soundless Archer, Conductance
ai/000.bin;0x151B6;14 30 63 2D;!!!! AI ERROR !!!!\n  
ai/000.bin;0x151B6;9D D8 DB 30;Oracle Guardian, Shisa
ai/000.bin;0x151B6;68 C9 B9 31;Dreaming Dragon
ai/000.bin;0x151B6;EE 81 9E 32;Titan of the Capturing Arm
ai/000.bin;0x151B6;C5 4D EE 32;"Blaster Dark ""Diablo"""
ai/000.bin;0x151B6;F1 28 16 33;You've only chosen one.
ai/000.bin;0x151B6;BC 1F 35 33;Booster : %s
ai/000.bin;0x151B6;0F 84 8F 33;Moonlight Witch, Vaha
ai/000.bin;0x151B6;B8 BC F2 37;Ambush Demon Stealth Rogue, Kagamijishi
ai/000.bin;0x151B6;6E 42 D6 38;AI(0) 1 Attack Information
ai/000.bin;0x151B6;B3 AD 45 3A;Blaster
ai/000.bin;0x151B6;5F 07 F5 3E;Witch of Choices, Eriu
ai/000.bin;0x151B6;2B 9E 47 42;Witch of Nostrum, Arianrhod
ai/000.bin;0x151B6;03 D4 54 45;Hit不起alyzed
ai/000.bin;0x151B6;2D 3A A7 45;AI(0) 1 Guard Step Information
ai/000.bin;0x151B6;2C A5 7B 4D;You need to select the cards.
ai/000.bin;0x151B6;9F A5 E0 4F;CEO Amaterasu
ai/000.bin;0x151B6;3A D0 5B 51;Exxtreme Battler, Victor
ai/000.bin;0x151B6;A6 11 33 52;"Dark Dragon, Phantom Blaster ""Diablo"""
ai/000.bin;0x151B6;72 A4 48 52;Magnum Assault
ai/000.bin;0x151B6;A2 CA 0A 55;Officer Cadet, Andrey
ai/000.bin;0x151B6;3C E0 6F 55;Dragonic Overlord (Break Ride)
ai/000.bin;0x151B6;B6 EB DA 55;Blue Storm Marine General, Despina
ai/000.bin;0x151B6;DE C1 45 56;Liberator
ai/000.bin;0x151B6;F7 6D 78 57;Stamp Sea Otter
ai/000.bin;0x151B6;3C 63 E3 57;Skull Witch, Nemain
ai/000.bin;0x151B6;C5 AF 0D 60;Crimson Roar, Metatron
ai/000.bin;0x151B6;75 87 53 62;Knight of Reform, Ladinas
ai/000.bin;0x151B6;29 1A 85 62;Maiden of Dreaming Aroma
ai/000.bin;0x151B6;47 87 68 63;AI(0) Thinking time 1 second (Action Category 4)
ai/000.bin;0x151B6;55 C8 81 63;Complete Guard : %d/%d cards
ai/000.bin;0x151B6;42 D7 DA 63;Guardian Candidate
ai/000.bin;0x151B6;93 11 EA 68;Blue Scale Deer
ai/000.bin;0x151B6;33 8E E7 69;Duo True Sister, Meer
ai/000.bin;0x151B6;B0 4A D0 6A;Calamity Tower Wyvern
ai/000.bin;0x151B6;E8 83 60 6B;Daredevil Samurai
ai/000.bin;0x151B6;4B D4 AE 6B;Total Shield :
ai/000.bin;0x151B6;DC 4C 2C 6E;Flower Princess of Spring's Beginning, Primavera
ai/000.bin;0x151B6;88 DD 98 6F;Fortress Ammonite
ai/000.bin;0x151B6;11 E8 1D 70;Oracle Queen, Himiko
ai/000.bin;0x151B6;E4 FB 3C 72;Blue Storm Cadet, Anos
ai/000.bin;0x151B6;BF 35 68 72;Tidal Assault
ai/000.bin;0x151B6;29 EF C2 73;Target (0) 1 2
ai/000.bin;0x151B6;5A 1C 38 7C;Jewel Knight, Prizmy
ai/000.bin;0x151B6;7C 3A 8B 81;Liberator, Burning Blow
ai/000.bin;0x151B6;E1 95 2F 85;Sacred Wielding Seeker, Octavius
ai/000.bin;0x151B6;DA 63 6D 85;Dimensional Robo, Daibrave
ai/000.bin;0x151B6;46 DE 4B 88;Dark Metal Dragon
ai/000.bin;0x151B6;6A D5 6E 8A;Katanaraizer
ai/000.bin;0x151B6;D1 DD 00 8D;Dark Cat
ai/000.bin;0x151B6;A0 D8 63 8D;Great Cosmic Hero, Grandgallop
ai/000.bin;0x151B6;1F 10 24 8F;Upper
ai/000.bin;0x151B6;6C E6 93 8F;Pitch Black Sage, Charon
ai/000.bin;0x151B6;5D 93 52 90;Lady of the Sunlight Forest
ai/000.bin;0x151B6;BB E2 E9 90;Immortal, Asura Kaiser
ai/000.bin;0x151B6;E1 26 37 94;Demonic Dragon Berserker, Chatura
ai/000.bin;0x151B6;6A 0F 95 94;Attacker's Power 0(1)(2)
ai/000.bin;0x151B6;7F BB 35 95;"Supreme Heavenly Emperor Dragon, Dragonic Overlord ""the Ace"""
ai/000.bin;0x151B6;E1 3B 61 98;Fierce Leader, Zachary
ai/000.bin;0x151B6;17 6F DB 98;Dragon Monk, Gojo (V Series Start Deck)
ai/000.bin;0x151B6;0C DD 47 9B;Battle Sister, Parfait
ai/000.bin;0x151B6;1A 2D D2 9C;Myth Guard, Fomalhaut
ai/000.bin;0x151B6;CA 30 36 9F;Commander, Garry Gannon
ai/000.bin;0x151B6;69 08 3B A2;Blue Wave Dragon, Tetra-drive Dragon
ai/000.bin;0x151B6;F1 51 AA A2;Steam Fighter, Balih
ai/000.bin;0x151B6;A4 F3 D7 A7;Attacker's Critical : %d
ai/000.bin;0x151B6;BD FD F6 A7;Extreme Battler, Runbhol
ai/000.bin;0x151B6;43 39 46 AB;Blue Storm Marine General, Spyros
ai/000.bin;0x151B6;37 A8 35 AC;Petal Fairy
ai/000.bin;0x151B6;9F 77 42 AC;Flare Whip Dragon
ai/000.bin;0x151B6;DC 8C AB AC;Fire Breeze, Carrie
ai/000.bin;0x151B6;A3 70 B0 B3;Revenger, Bloodmaster
ai/000.bin;0x151B6;39 6A 36 B5;Hyper Metalborg, Heavyduke
ai/000.bin;0x151B6;F7 48 21 B9;Dragon Knight, Jaral
ai/000.bin;0x151B6;4D 11 72 B9;Glass Beads Dragon
ai/000.bin;0x151B6;88 EF 6D BC;Enigman Tornado
ai/000.bin;0x151B6;7F 60 32 BD;Weather Girl, Ramune
ai/000.bin;0x151B6;ED F8 CC BD;Final Wrench
ai/000.bin;0x151B6;11 9F 48 BE;Shura Stealth Dragon, Daranicongo
ai/000.bin;0x151B6;1D 17 4A BF;Starlight Hedgehog
ai/000.bin;0x151B6;CF AA 4F C1;Perdition Dragon, Dragonic Neoflame
ai/000.bin;0x151B6;7C 17 CE C1;Ranunculus Flower Maiden, Ahsha
ai/000.bin;0x151B6;32 A7 9C C5;Couple Dagger Sailor
ai/000.bin;0x151B6;15 6E A2 C8;Wisteria Knight
ai/000.bin;0x151B6;90 9C 38 CB;Drawing Dread
ai/000.bin;0x151B6;AB 51 A7 CB;AI(0) 1 Recipe (Flag 2 3)
ai/000.bin;0x151B6;D8 71 CC CE;Luck Bird
ai/000.bin;0x151B6;74 62 BC D2;Field Driller
ai/000.bin;0x151B6;D7 DA C1 D6;AI(0) 1 Thinking Begins (Action Category 2 3)
ai/000.bin;0x151B6;04 75 4F D7;Blue Storm Soldier, Rascal Sweeper
ai/000.bin;0x151B6;D3 27 A4 D7;Dragon Knight, Neshat
ai/000.bin;0x151B6;7C 46 0A D9;Stealth Dragon, Dreadmaster
