offset;value
0x8d3e3c;0xa45d84
0x8d3e40;0x949720
0x8d3e44;0x949724
0x8d3e48;0x949728
0x8d3e4c;0xa52424
0x8d3e50;0xa52434
0x8d3e54;0x94972c
0x8d3e58;0xa45fb4
0x8d3e5c;0xa46004
0x8d3e60;0xa46054
0x8d3f08;0x94a050
0x8d3f10;0x949f5c
0x8d3f18;0x949d48
0x8d3f20;0x949cc8
0x8d3f28;0x949dc8
0x8d3f30;0x94a158
0x8d3f38;0x949ac0
0x8d3f40;0x949c34
0x8d3f48;0x949b78
0x8d3f50;0x949ed8
0x8d3f58;0x94a21c
0x8d3f60;0x949e70
0x8d3f68;0x94a0f0
0x8d3f70;0x949ffc
0x8d3f78;0x94a1bc
0x8d5108;0xb40f5a
0x8d510c;0xb411b2
0x8d5110;0xb40fc8
0x8d5114;0xb4114e
0x8d5118;0xb4118a
0x8d5120;0xb40eb0
0x8d5124;0xb40f78
0x8d5128;0xb41086
0x8d512c;0xb4100e
0x8d5130;0xb40faa
0x8d5798;0xa28050
0x8d57a4;0xb4c2b4
0x8d57b0;0xb4c290
0x8d57bc;0xa32cf8
0x8d57c8;0xb4c32c
0x8d57d4;0xb4c22c
0x8d57e0;0xa50bb8
0x8d57ec;0xb4c39c
0x8d57f8;0xb4c25c
0x8d5804;0xb4c2f4
0x8d5810;0x9ccdd4
0x8d581c;0xb4c350
0x8d5828;0xb4c244
0x8d5834;0xb4c2d0
0x8d5840;0x94cf98
0x8d584c;0xb4c374
0x8d5858;0xb4c3dc
0x8d5864;0xa04b20
0x8d5870;0xb4c1cc
0x8d587c;0xa28798
0x8d5888;0x94cd1c
0x8d5894;0xb4c1fc
0x8d58a0;0xa50000
0x8d58ac;0xa505e4
0x8d58b8;0xb4c308
0x8d58c4;0xa50640
0x8d58d0;0xb4c3c4
0x8d58dc;0xb4c278
0x8d58e8;0x9e9148
0x8d58f4;0xb4c488
0x8d5900;0xb4c468
0x8d590c;0xb4c4a4
0x8d5918;0xb4c404
0x8d5924;0xa4fe10
0x8d5930;0xb4c440
0x8d6fd8;0x94aa04
0x8d6fe4;0xb4e2ec
0x8d6ff0;0xb4e5a4
0x8d6ffc;0xb4e554
0x8d7008;0xb4e014
0x8d7014;0xb4e648
0x8d7020;0xb4e148
0x8d702c;0xb4dcd0
0x8d7038;0xb4e0f4
0x8d7044;0xb4e82c
0x8d7050;0xb4e8cc
0x8d705c;0xb4e6c8
0x8d7068;0xb4e43c
0x8d7074;0xb4e368
0x8d7080;0xb4df6c
0x8d708c;0xb4e77c
0x8d7098;0xb4e7bc
0x8d70a4;0xb4e7b8
0x8d70b0;0xb4e744
0x8d70bc;0xb4e70c
0x8d70c8;0xb4e074
0x8d70d4;0xb4e19c
0x8d70e0;0xb4dec4
0x8d70ec;0xb4e1c8
0x8d70f8;0xb4e228
0x8d7104;0xb4df18
0x8d7110;0xb4ddec
0x8d711c;0xb4e30c
0x8d7128;0xb4e0c4
0x8d7134;0xb4e7f4
0x8d7140;0xb4e2b8
0x8d714c;0xb4e68c
0x8d7158;0xb4e9ec
0x8d7164;0xb4e32c
0x8d7170;0x94aa04
0x8d717c;0xb4e930
0x8d7188;0xb4e8fc
0x8d7194;0xb4e970
0x8d71a0;0xb4e864
0x8d71ac;0xb4e270
0x8d71b8;0xb4dfd0
0x8d71c4;0xb4de50
0x8d71d0;0xb4e498
0x8d71dc;0xb4e5c8
0x8d71e0;0xa50560
0x8d71e4;0xa4fec0
0x8d71e8;0xa50530
0x8d71ec;0xa50560
0x8d71f0;0xa4fec0
0x8d71f4;0xa50384
0x8d71f8;0xa5036c
0x8d71fc;0x9c68b8
0x8d7200;0x94cf98
0x8d7204;0x94cd1c
0x8d74ec;0x9c68b8
0x8d74f0;0xa5036c
0x8d74f4;0xa50384
0x8d74f8;0xa50354
0x8d7500;0xa4fec0
0x8d7504;0xa50560
0x8d7508;0xa50530
0x8d750c;0xa50548
0x8d7514;0x9d2168
0x8d7518;0xa2d480
0x8d751c;0x94cd1c
0x8d7520;0xa29d10
0x8d7528;0xa37b44
0x8d752c;0xa1eddc
0x8d7530;0xa0e524
0x8d7534;0xa12cc0
0x8d753c;0xa4ff30
0x8d7540;0xa4ff5c
0x8d7544;0xa4ff44
0x8d7548;0xa4ff70
0x8d7550;0xa4fe44
0x8d7554;0xa4fea0
0x8d7558;0xa4fd74
0x8d755c;0xa4fdf4
0x8d7564;0xa3179c
0x8d7568;0xa30970
0x8d756c;0xa31928
0x8d7570;0xa318d8
0x8d7578;0xa50808
0x8d757c;0xa201e4
0x8d7580;0xa20208
0x8d7584;0x94d244
0x8d758c;0x9eda4c
0x8d7590;0xa3368c
0x8d7594;0xa50674
0x8d7598;0xa50694
0x8d75a0;0xa50c68
0x8d75a4;0xa50c48
0x8d75a8;0xa50c84
0x8d75ac;0xa275c4
0x8d75b4;0xa50160
0x8d75b8;0xa50134
0x8d75bc;0xa5014c
0x8d75c0;0xa5011c
0x8d75c8;0xa507e0
0x8d75cc;0xa507f4
0x8d75d0;0xa507c8
0x8d75d4;0x94d230
0x8d75dc;0xa4fe80
0x8d75e0;0xa4fe60
0x8d75e4;0xa4fdb4
0x8d75e8;0xa4fdd4
0x8d75f0;0xa50cb0
0x8d75f4;0xa5030c
0x8d75f8;0xa50a8c
0x8d75fc;0xa507a0
0x8d7604;0xa503fc
0x8d7608;0xa50280
0x8d760c;0xa50660
0x8d7610;0x94d0a8
0x8d7618;0xa501d8
0x8d761c;0xa501f0
0x8d7620;0xa50220
0x8d7624;0xa50208
0x8d762c;0xa1f81c
0x8d7630;0xa1f83c
0x8d7634;0xa1f894
0x8d7638;0xa1f878
0x8d7640;0xa50100
0x8d7644;0xa5003c
0x8d7648;0xa50294
0x8d764c;0xa500e8
0x8d7654;0xa02ed0
0x8d7658;0xa291a8
0x8d765c;0xa27a04
0x8d7660;0xa2806c
0x8d7668;0xa50b98
0x8d766c;0xa505ac
0x8d7670;0xa50be4
0x8d7674;0xa5098c
0x8d7678;0xb4fdb0
0x8d767c;0xa4ffe4
0x8d7680;0xa50238
0x8d7684;0x94ce14
0x8d7688;0xa04b40
0x8d768c;0xa29d10
0x8d7690;0xb50010
0x8d7694;0xa50584
0x8d7698;0xb4ffc8
0x8d769c;0xa503b8
0x8d76a0;0xb500b0
0x8d76a4;0xa50760
0x8d76a8;0xb4fe40
0x8d76ac;0xa506e8
0x8d76b0;0xb4ffb0
0x8d76b4;0xa50058
0x8d76b8;0xb4ffec
0x8d76bc;0xa5046c
0x8d76c0;0xb4fe64
0x8d76c4;0xa28798
0x8d76c8;0xb4ff74
0x8d76cc;0xa04b20
0x8d76d0;0x94cf6c
0x8d76d4;0xa04b20
0x8d76d8;0xb4fe90
0x8d76dc;0xa508f4
0x8d76e0;0xb4ff44
0x8d76e4;0xa50cfc
0x8d76e8;0xb4ff04
0x8d76ec;0x94d320
0x8d76f0;0xb500f0
0x8d76f4;0xa32cf8
0x8d76f8;0xa318f8
0x8d76fc;0xa318d8
0x8d7700;0xb50034
0x8d7704;0xa50c00
0x8d7708;0xb4fedc
0x8d770c;0xa50c00
0x8d7710;0xb500d0
0x8d7714;0xa509ac
0x8d7718;0xb5008c
0x8d771c;0xa50618
0x8d7720;0x94d0d8
0x8d7724;0xa50618
0x8d7728;0xb4fec0
0x8d772c;0x94d48c
0x8d7730;0xa50018
0x8d7734;0xa50000
0x8d7738;0xa4fd94
0x8d773c;0xa50000
0x8d7740;0xb4fdd4
0x8d7744;0xa501a8
0x8d7748;0x9d714c
0x8d774c;0x9d7130
0x8d7750;0xa1f858
0x8d7754;0xa1f878
0x8d7758;0xb4fe1c
0x8d775c;0xa505e4
0x8d7760;0xb50064
0x8d7764;0xa505e4
0x8d7768;0xb4fdf8
0x8d776c;0xa503e4
0x8e2d1c;0xa00080
0x8ea940;0xafcf4d
0x8ea944;0xaf015e
0x8ea954;0x95ce31
0x8ea958;0x95012a
0x8ea99c;0xa70054
0x8ef80c;0xa30083
0x8f2398;0xa30083
0x8f301c;0xabd890
0x8f3ab4;0xaa00aa
0x8f3ab8;0xb500b5
0x8f3eac;0xaa00aa
0x8f3eb0;0xb500b5
0x8f5188;0xa000a0
0x8f51a4;0xa000a0
0x8f51dc;0xa900a2
0x8f51e0;0xac00ac
0x8f51e4;0xb100ae
0x8f51e8;0xb400b4
0x8f53c8;0xac00ac
0x8f53cc;0xb100b1
0x8f5448;0xa500a2
0x8f5474;0xa800a8
0x8f5478;0xaf00af
0x8f547c;0xb400b4
0x8f54c4;0xa700a6
0x8f54c8;0xa900a9
0x8f54cc;0xae00ae
0x8f54d0;0xb000b0
0x8f5650;0xb300b2
0x8f5744;0xb300b2
0x8f57b0;0xa100a1
0x8f57b4;0xad00ad
0x8f58c4;0xad00ad
0x8f5a50;0xa100a1
0x8f5b38;0x9f007f
0x8f5b60;0x9f007f
0x8f6554;0xb515c4
0x8f655c;0xb515b6
0x8f6564;0xb50fc6
0x8f656c;0xb51026
0x8f6574;0xb51392
0x8f657c;0xb51be8
0x8f6584;0xb511f4
0x8f658c;0xb51c62
0x8f6594;0xb51292
0x8f659c;0xb51340
0x8f65a4;0xb51bf6
0x8f65ac;0xb51c06
0x8f65b4;0xb50f18
0x8f65bc;0xb51a34
0x8f65c4;0xb51ac4
0x8f65cc;0xb51858
0x8f65d4;0xb51280
0x8f65dc;0xb510f8
0x8f65e4;0xb513ea
0x8f65ec;0xb51c90
0x8f65f4;0xb510e4
0x8f65fc;0xb510d0
0x8f6604;0xb5104a
0x8f660c;0xb51240
0x8f6614;0xb5122a
0x8f661c;0xb51212
0x8f6624;0xb5125c
0x8f662c;0xb5108e
0x8f6634;0xb5132e
0x8f663c;0xb51c7c
0x8f6644;0xb51010
0x8f664c;0xb51378
0x8f6654;0xb51034
0x8f665c;0xb51202
0x8f6664;0xb5150a
0x8f666c;0xb51402
0x8f6674;0xb5158e
0x8f667c;0xb513b8
0x8f6684;0xb51530
0x8f668c;0xb51122
0x8f6694;0xb511b4
0x8f669c;0xb515f6
0x8f66a4;0xb51366
0x8f66ac;0xb51110
0x8f66b4;0xb515a4
0x8f66bc;0xb513d0
0x8f66c4;0xb512f8
0x8f66cc;0xb51152
0x8f66d4;0xb51450
0x8f66dc;0xb51b8e
0x8f66e4;0xb51944
0x8f66ec;0xb518ea
0x8f66f4;0xb519e4
0x8f66fc;0xb51bc8
0x8f6704;0xb51af8
0x8f670c;0xb512c4
0x8f6714;0xb516de
0x8f671c;0xb5147c
0x8f6724;0xb51642
0x8f672c;0xb511d8
0x8f6734;0xb51b6c
0x8f673c;0xb516b8
0x8f6744;0xb51914
0x8f674c;0xb51b2a
